Pincode,Latitude,Longitude,State,District,Matched_District,Population,Literate,Nightlight_Mean_Radiance,Total_Deposits_Recent,TRAI_Tele_Density_2026,Final_Prosperity_Index
851217,25.436825,86.36325833333332,Bihar,Begusarai,begusarai,2970541.0,1548673.0,2.632022359788667,14565.9047,63.79,16.840854315973193
231223,24.27357,83.1412,Uttar Pradesh,Sonbhadra,sonbhadra,1862559.0,985708.0,1.2197175553067772,13990.5869,71.86,10.508323254029115
822116,24.54542,84.0705,Jharkhand,Palamau,palamu,1939869.0,1024563.0,0.962503093820716,,63.79,10.71204132688408
753004,20.4496,85.7057,Odisha,Cuttack,cuttack,2624470.0,2011469.0,2.165562739817001,48090.6191,84.21,19.256930846510382
854101,25.5595,87.64638333333333,Bihar,Katihar,katihar,3071029.0,1280190.0,1.237431827595729,9990.8712,63.79,15.355895845910611
572220,13.462216666666668,76.55364999999999,Karnataka,Tumakuru,tumkur,2678980.0,1813391.0,1.2923475358713987,,131.44,18.742687836170678
224209,26.469292307692307,82.19792307692309,Uttar Pradesh,Faizabad,faizabad,2470996.0,1450901.0,2.2548232892967732,,71.86,14.998506297078098
829110,23.58050588235294,85.67365294117647,Jharkhand,Ramgarh,ramgarh,949443.0,596497.0,3.148624947567114,11440.7733,63.79,6.124751027995898
788726,24.6949,92.3182,Assam,Karimganj,karimganj,1228686.0,795297.0,0.7076015011699879,5828.0621,82.17,7.529290352428632
851133,25.55853125,85.99806875,Bihar,Begusarai,begusarai,2970541.0,1548673.0,2.632022359788667,14565.9047,63.79,16.840854315973193
491107,21.12802,81.39015,Chhattisgarh,Durg,durg,3343872.0,2303378.0,1.7246848927394969,35235.6459,74.09,22.090036163611522
835226,22.4353,84.46420588235294,Jharkhand,Simdega,simdega,599578.0,343483.0,0.5348673799612226,2429.1061,63.79,2.7746817694358357
606213,11.746407692307692,78.9800923076923,Tamil Nadu,Villupuram,viluppuram,3458873.0,2195776.0,1.3232568537748612,,107.98,22.308389279687198
852139,26.160888235294117,86.8782294117647,Bihar,Supaul,supaul,2229076.0,1033283.0,1.3128360802339671,6259.8428,63.79,11.468948238014821
211013,25.389675,81.9250125,Uttar Pradesh,Allahabad,allahabad,5954391.0,3665727.0,2.6217377151268115,,71.86,36.35393171404631
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.4620920800209782,37159.637,74.09,3.391187073073449
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.4620920800209782,8190.7244,74.09,2.578463541738687
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.185626007789789,37159.637,74.09,3.304106742816325
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.185626007789789,8190.7244,74.09,2.491383211481563
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.4620920800209782,37159.637,74.09,3.391187073073449
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.4620920800209782,8190.7244,74.09,2.578463541738687
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.185626007789789,37159.637,74.09,3.304106742816325
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.185626007789789,8190.7244,74.09,2.491383211481563
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.4620920800209782,37159.637,74.09,16.65081778190307
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.4620920800209782,8190.7244,74.09,15.838094250568307
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.185626007789789,37159.637,74.09,16.56373745164594
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.185626007789789,8190.7244,74.09,15.751013920311182
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.4620920800209782,37159.637,74.09,16.65081778190307
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.4620920800209782,8190.7244,74.09,15.838094250568307
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.185626007789789,37159.637,74.09,16.56373745164594
495116,22.415741666666666,82.05455833333333,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.185626007789789,8190.7244,74.09,15.751013920311182
497339,23.4829,82.5182,Chhattisgarh,Koriya,koriya,658917.0,397823.0,0.7014100773412808,2314.8616,74.09,3.5594330502836717
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.4620920800209782,37159.637,74.09,3.391187073073449
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.4620920800209782,8190.7244,74.09,2.578463541738687
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.185626007789789,37159.637,74.09,3.304106742816325
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.185626007789789,8190.7244,74.09,2.491383211481563
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.4620920800209782,37159.637,74.09,3.391187073073449
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.4620920800209782,8190.7244,74.09,2.578463541738687
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.185626007789789,37159.637,74.09,3.304106742816325
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,381956.0,287620.0,1.185626007789789,8190.7244,74.09,2.491383211481563
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.4620920800209782,37159.637,74.09,16.65081778190307
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.4620920800209782,8190.7244,74.09,15.838094250568307
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.185626007789789,37159.637,74.09,16.56373745164594
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.185626007789789,8190.7244,74.09,15.751013920311182
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.4620920800209782,37159.637,74.09,16.65081778190307
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.4620920800209782,8190.7244,74.09,15.838094250568307
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.185626007789789,37159.637,74.09,16.56373745164594
495119,22.673832,82.044316,Chhattisgarh,Bilaspur(CGH),bilaspur,2663629.0,1596560.0,1.185626007789789,8190.7244,74.09,15.751013920311182
583116,15.3237,76.8621875,Karnataka,Ballari,bellary,2452595.0,1421621.0,1.4921047893250454,,131.44,16.28437335483625
533292,17.3093,81.8242,Andhra Pradesh,East Godavari,east godavari,5154296.0,3288577.0,1.1624925419294097,20613.8016,102.27,32.59112453632792
490023,21.2367,81.3973,Chhattisgarh,Durg,durg,3343872.0,2303378.0,1.7246848927394969,35235.6459,74.09,22.090036163611522
491336,21.819391666666665,81.76440833333332,Chhattisgarh,Kawardha,wardha,1300774.0,1019458.0,1.031292427973122,14346.0029,74.09,8.897522112385287
622506,10.27852,78.82678000000001,Tamil Nadu,Pudukkottai,pudukkottai,1618345.0,1110545.0,1.0517112997665758,10224.7486,107.98,11.192426628861078
854333,26.24080625,87.45179999999999,Bihar,Araria,araria,2811569.0,1195768.0,1.1722298582814,6780.93,63.79,14.03405734155557
624308,10.2505,78.1202,Tamil Nadu,Dindigul,dindigul,2159775.0,1481834.0,1.247218964386602,17965.9365,107.98,14.896985667169616
770002,21.748,84.886,Odisha,Sundergarh,sundargarh,2093437.0,1342322.0,1.316042787296951,36184.408,84.21,13.891322483142673
700115,22.4656,88.7803,West Bengal,North 24 Parganas,north,887978.0,681517.0,35.04061070884146,,83.54,17.101550485641493
700115,22.4656,88.7803,West Bengal,North 24 Parganas,north,887978.0,681517.0,0.4093871464003001,,83.54,6.19352708628594
413214,17.8736,75.6408,Maharashtra,Solapur,solapur,4317756.0,2910676.0,1.5502195994220755,38804.3642,117.1,29.259636746981787
322249,26.554842857142855,76.96894285714286,Rajasthan,Karauli,karauli,1458248.0,805849.0,1.00026591842723,6606.2716,84.43,8.484920317794305
613101,10.844285714285714,79.01741428571428,Tamil Nadu,Thanjavur,thanjavur,2405890.0,1790998.0,1.4848917071443934,28181.1072,107.98,17.461951201503854
768105,21.233192307692303,84.1382,Odisha,Sambalpur,sambalpur,1041099.0,703691.0,1.0529282889527678,37440.7586,84.21,7.5673767951827715
612602,10.925,79.45018571428571,Tamil Nadu,Thanjavur,thanjavur,2405890.0,1790998.0,1.4848917071443934,28181.1072,107.98,17.461951201503854
685607,9.8822,77.0275,Kerala,Idukki,idukki,1108974.0,923010.0,0.5355519327791511,16180.0728,123.36,9.16246857937374
412301,18.35040588235294,74.4151411764706,Maharashtra,Pune,pune,9429408.0,7171723.0,3.3624508541214753,651301.4153,117.1,82.83591257987256
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,0.7347131200893798,18467.5576,71.86,4.638148974912667
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,0.7347131200893798,3056.4504,71.86,4.205789996227269
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,1.718675458629304,18467.5576,71.86,4.948074039891269
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,1.718675458629304,3056.4504,71.86,4.515715061205871
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,0.7347131200893798,18467.5576,71.86,4.638148974912667
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,0.7347131200893798,3056.4504,71.86,4.205789996227269
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,1.718675458629304,18467.5576,71.86,4.948074039891269
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,1.718675458629304,3056.4504,71.86,4.515715061205871
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,0.7347131200893798,18467.5576,71.86,19.104638555903385
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,0.7347131200893798,3056.4504,71.86,18.672279577217985
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,1.718675458629304,18467.5576,71.86,19.414563620881985
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,1.718675458629304,3056.4504,71.86,18.98220464219659
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,0.7347131200893798,18467.5576,71.86,19.104638555903385
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,0.7347131200893798,3056.4504,71.86,18.672279577217985
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,1.718675458629304,18467.5576,71.86,19.414563620881985
230002,25.8882,81.8948,Uttar Pradesh,Pratapgarh,pratapgarh,3209141.0,1931559.0,1.718675458629304,3056.4504,71.86,18.98220464219659
411013,18.5732,73.8739,Maharashtra,Pune,pune,9429408.0,7171723.0,3.3624508541214753,651301.4153,117.1,82.83591257987256
641607,11.034675,77.085275,Tamil Nadu,Erode,erode,2251744.0,1492662.0,1.3147882668679278,35949.6444,107.98,15.764234865197228
321204,27.70051666666667,77.06910555555555,Rajasthan,Bharatpur,bharatpur,2548462.0,1480869.0,1.401444410426872,12909.5508,84.43,15.352037951518623
691003,8.9191,76.56,Kerala,Kollam,kollam,2635375.0,2240273.0,1.7166516998964905,60549.7357,123.36,21.682637740690573
411021,18.5131,73.7825,Maharashtra,Pune,pune,9429408.0,7171723.0,3.3624508541214753,651301.4153,117.1,82.83591257987256
600011,13.1103,80.2425,Tamil Nadu,Chennai,chennai,4646732.0,3776276.0,34.93174913194444,796322.7376,107.98,65.79080084340507
767033,20.792305,83.416715,Odisha,Balangir,balangir,1648997.0,927260.0,0.8480006175056761,10762.5917,84.21,9.710891997340275
603308,12.519411111111111,79.86595555555556,Tamil Nadu,Kanchipuram,kancheepuram,3998252.0,3013382.0,5.282845706396566,25169.5016,107.98,29.249446916274973
212108,25.148183333333332,81.63223333333333,Uttar Pradesh,Allahabad,allahabad,5954391.0,3665727.0,2.6217377151268115,,71.86,36.35393171404631
847227,26.425458333333335,86.3779,Bihar,Madhubani,madhubani,4487379.0,2155338.0,1.6188224121220478,14664.276,63.79,24.126339958320926
609303,10.8494,79.7389,Tamil Nadu,Nagapattinam,nagapattinam,1616450.0,1213008.0,,4933.9085,107.98,11.600638194073523
322254,26.564428571428575,76.95671428571428,Rajasthan,Karauli,karauli,1458248.0,805849.0,1.00026591842723,6606.2716,84.43,8.484920317794305
313328,25.081383333333335,74.10911666666667,Rajasthan,Rajsamand,rajsamand,1156597.0,619139.0,1.3862200154049296,9893.4365,84.43,6.882821159849915
843302,26.576303333333332,85.53599666666666,Bihar,Sitamarhi,sitamarhi,3423574.0,1436794.0,1.5445234022883103,10222.1183,63.79,17.29776599490359
302015,26.755,75.5831,Rajasthan,Jaipur,jaipur,6626178.0,4300965.0,2.9259336815135986,250115.8828,84.43,48.39750389039993
845438,26.7860975,84.4757525,Bihar,West Champaran,west,2543243.0,1961179.0,35.77311921296296,,63.79,27.901197815967834
845438,26.7860975,84.4757525,Bihar,West Champaran,west,2543243.0,1961179.0,0.4989480543593405,,63.79,16.790660999468518
493889,21.2845,81.8203,Chhattisgarh,Raipur,raipur,4063872.0,2629749.0,1.665780970337087,99461.3017,74.09,27.65851369692732
341513,26.99834444444444,74.63201111111111,Rajasthan,Nagaur,nagaur,3307743.0,1758624.0,0.981529928306978,8020.0397,84.43,18.768518481944916
847403,26.203984615384613,86.30048461538462,Bihar,Madhubani,madhubani,4487379.0,2155338.0,1.6188224121220478,14664.276,63.79,24.126339958320926
847224,26.394514285714283,86.27501428571428,Bihar,Madhubani,madhubani,4487379.0,2155338.0,1.6188224121220478,14664.276,63.79,24.126339958320926
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,0.7347131200893798,18467.5576,71.86,4.638148974912667
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,0.7347131200893798,3056.4504,71.86,4.205789996227269
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,1.718675458629304,18467.5576,71.86,4.948074039891269
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,1.718675458629304,3056.4504,71.86,4.515715061205871
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,0.7347131200893798,18467.5576,71.86,4.638148974912667
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,0.7347131200893798,3056.4504,71.86,4.205789996227269
230144,25.89337142857143,81.82911428571428,Uttar Pradesh,Pratapgarh,pratapgarh,867848.0,401515.0,1.718675458629304,18467.5576,71.86,4.948074039891269
